ISO_A3,NAME_LONG,INCOME_GRP,CONTINENT,SUBREGION,total_richness,total_records,log10_total_richness,log10_total_records
FRA,France,1. High income: OECD,Europe,Western Europe,441,821180,2.64542226934909,5.91443889236609
ECU,Ecuador,3. Upper middle income,South America,South America,37,1354,1.57978359661681,3.13193929521042
PRI,Puerto Rico,2. High income: nonOECD,North America,Caribbean,47,610,1.68124123737559,2.78604121024255
JAM,Jamaica,3. Upper middle income,North America,Caribbean,17,132,1.25527250510331,2.12385164096709
CUB,Cuba,3. Upper middle income,North America,Caribbean,25,100,1.41497334797082,2.00432137378264
ZWE,Zimbabwe,5. Low income,Africa,Eastern Africa,23,284,1.38021124171161,2.45484486000851
BWA,Botswana,3. Upper middle income,Africa,Southern Africa,21,179,1.34242268082221,2.25527250510331
NAM,Namibia,3. Upper middle income,Africa,Southern Africa,11,177,1.07918124604762,2.25042000230889
SEN,Senegal,4. Lower middle income,Africa,Western Africa,13,53,1.14612803567824,1.73239375982297
MLI,Mali,5. Low income,Africa,Western Africa,10,59,1.04139268515822,1.77815125038364
MRT,Mauritania,5. Low income,Africa,Western Africa,4,33,0.698970004336019,1.53147891704226
BEN,Benin,5. Low income,Africa,Western Africa,59,3844,1.77815125038364,3.58489634413745
NER,Niger,5. Low income,Africa,Western Africa,15,63,1.20411998265592,1.80617997398389
NGA,Nigeria,4. Lower middle income,Africa,Western Africa,29,236,1.47712125471966,2.3747483460101
CMR,Cameroon,4. Lower middle income,Africa,Middle Africa,23,112,1.38021124171161,2.05307844348342
TGO,Togo,5. Low income,Africa,Western Africa,24,107,1.39794000867204,2.03342375548695
GHA,Ghana,4. Lower middle income,Africa,Western Africa,22,177,1.36172783601759,2.25042000230889
CIV,Côte d'Ivoire,4. Lower middle income,Africa,Western Africa,44,194,1.65321251377534,2.29003461136252
GIN,Guinea,5. Low income,Africa,Western Africa,6,9,0.845098040014257,1
GNB,Guinea-Bissau,5. Low income,Africa,Western Africa,5,6,0.778151250383644,0.845098040014257
LBR,Liberia,5. Low income,Africa,Western Africa,4,8,0.698970004336019,0.954242509439325
SLE,Sierra Leone,5. Low income,Africa,Western Africa,1,3,0.301029995663981,0.602059991327962
BFA,Burkina Faso,5. Low income,Africa,Western Africa,10,42,1.04139268515822,1.63346845557959
CAF,Central African Republic,5. Low income,Africa,Middle Africa,6,132,0.845098040014257,2.12385164096709
COG,Republic of the Congo,4. Lower middle income,Africa,Middle Africa,8,44,0.954242509439325,1.65321251377534
GAB,Gabon,3. Upper middle income,Africa,Middle Africa,13,455,1.14612803567824,2.65896484266444
GNQ,Equatorial Guinea,2. High income: nonOECD,Africa,Middle Africa,2,6,0.477121254719662,0.845098040014257
ZMB,Zambia,4. Lower middle income,Africa,Eastern Africa,24,112,1.39794000867204,2.05307844348342
MWI,Malawi,5. Low income,Africa,Eastern Africa,17,83,1.25527250510331,1.92427928606188
MOZ,Mozambique,5. Low income,Africa,Eastern Africa,22,137,1.36172783601759,2.13987908640124
SWZ,Kingdom of eSwatini,4. Lower middle income,Africa,Southern Africa,8,81,0.954242509439325,1.91381385238372
AGO,Angola,3. Upper middle income,Africa,Middle Africa,6,9,0.845098040014257,1
BDI,Burundi,5. Low income,Africa,Eastern Africa,6,13,0.845098040014257,1.14612803567824
ISR,Israel,1. High income: OECD,Asia,Western Asia,66,3583,1.82607480270083,3.55436800099009
