Area,meanValue,ISO_A3,richness,NAME_LONG,INCOME_GRP,area,GNI,log_GNI,log_Richness,log_forestArea,log_import
Germany,4306291.578125,DEU,448,Germany,1. High income: OECD,10344866.0118895,42698.75,4.63042533230984,2.65224634100332,7.01472491197867,6.63410353332504
Ghana,12848.4838709677,GHA,20,Ghana,4. Lower middle income,6041721.18964178,1342.91666666667,3.12837233990168,1.32221929473392,6.78116075167552,4.1088856835823
Greece,189620.78125,GRC,121,Greece,1. High income: OECD,2666548.62853913,20817.0833333333,4.31844074265415,2.08635983067475,6.42594967097412,5.27788822189115
Guatemala,2058.90697674419,GTM,34,Guatemala,4. Lower middle income,6654449.98914043,3137.91666666667,3.49677978601313,1.54406804435028,6.82311223077655,3.31384760852504
Guinea,359.142857142857,GIN,4,Guinea,5. Low income,6532713.99816574,742.916666666667,2.87152428872624,0.698970004336019,6.81509371169909,2.55647480566219
Guinea-Bissau,14.3870967741935,GNB,5,Guinea-Bissau,5. Low income,812482.210351879,625.416666666667,2.79686330419847,0.778151250383644,5.90981439521784,1.18715668520584
Guyana,5268.52631578947,GUY,5,Guyana,4. Lower middle income,18862309.5437348,4841.25,3.68504720782725,0.778151250383644,7.27559489067768,3.72177157770123
Haiti,2556.22448979592,HTI,10,Haiti,5. Low income,668822.705353868,1153.33333333333,3.0623312368298,1.04139268515822,5.82531165755585,3.40776885489381
Honduras,3473.87096774194,HND,29,Honduras,4. Lower middle income,6534584.96510227,1814.16666666667,3.25891650765891,1.47712125471966,6.81521807565523,3.54093868258424
Hungary,823947.1875,HUN,166,Hungary,1. High income: OECD,1708808.66085916,12588.3333333333,4.10000273270354,2.22271647114758,6.23269369066562,5.91589990272828
India,1943795.0625,IND,138,India,4. Lower middle income,29187750.4251607,1339.16666666667,3.12715881173244,2.1430148002541,7.46520063896679,6.28865069805068
Indonesia,215312.114285714,IDN,64,Indonesia,4. Lower middle income,133745605.249747,2655,3.42422807069598,1.81291335664286,8.12627952368143,5.3330704826264
Iran (Islamic Republic of),29251.2203389831,IRN,44,Iran,3. Upper middle income,1367296.66311738,4513.75,3.65463370667023,1.65321251377534,6.13586307153695,4.46615883603773
Iraq,8843.08571428572,IRQ,10,Iraq,4. Lower middle income,22233.0450174457,3930,3.59450304382009,1.04139268515822,4.34701848064529,3.94665294298186
Ireland,111414.265625,IRL,63,Ireland,1. High income: OECD,590223.895505022,49051.25,4.69065893302429,1.80617997398389,5.7710175239583,5.04694470001624
Israel,112789.109375,ISR,54,Israel,1. High income: OECD,23677.7463232349,33327.9166666667,4.52282119744886,1.74036268949424,4.37435870483659,5.05227101780167
Italy,4154921.4375,ITA,369,Italy,1. High income: OECD,7921224.10648818,32945,4.51780269409302,2.568201724067,6.89879235530681,6.61856292095282
Jamaica,9550.40625,JAM,16,Jamaica,3. Upper middle income,671235.252942225,4757.91666666667,3.67750809993982,1.23044892137827,5.82687540435756,3.98006731730673
Japan,19965237.75,JPN,156,Japan,1. High income: OECD,22326996.3608061,41079.5833333333,4.61363660183491,2.19589965240923,7.3488303210421,7.30027450797827
Jordan,5672.84090909091,JOR,11,Jordan,3. Upper middle income,2190.07366768017,3261.25,3.51351723980056,1.07918124604762,3.34065697953658,3.75387715428807
Kazakhstan,129635.40625,KAZ,22,Kazakhstan,3. Upper middle income,3511594.3196731,6676.25,3.82459763676784,1.36172783601759,6.54550446151671,5.11272698311744
Kenya,2577.08888888889,KEN,42,Kenya,5. Low income,4071359.46295011,1132.5,3.05442152446254,1.63346845557959,6.60973955488245,3.41129788714013
Kyrgyzstan,13730.6875,KGZ,9,Kyrgyzstan,5. Low income,525854.927397876,898.75,2.95412185532495,1,5.72086677360871,4.13772391137402
Lao People's Democratic Republic,210.870967741936,LAO,24,Lao PDR,4. Lower middle income,15764146.7054845,1346.25,3.12944819226806,1.39794000867204,7.19767049542576,2.32607145027711
Latvia,769659.333333333,LVA,30,Latvia,3. Upper middle income,2726168.63207488,12301.25,4.0899845482866,1.49136169383427,6.43555287570336,5.88629910451665
Lebanon,21789.671875,LBN,5,Lebanon,3. Upper middle income,54306.2680638914,6082.08333333333,3.78412376598765,0.778151250383644,4.73485795608633,4.33827062111852
Lesotho,21468.4,LSO,3,Lesotho,4. Lower middle income,55258.7418576127,1139.16666666667,3.05696834004091,0.602059991327962,4.74240885180604,4.33181990748561
Liberia,938.645161290323,LBR,4,Liberia,5. Low income,6555289.5083401,459.166666666667,2.66291515625562,0.698970004336019,6.81659194291754,2.97296388169842
Libya,21573.5573770492,LBY,0,Libya,3. Upper middle income,5622.28075545463,8398.75,3.92426636043853,0,3.74998976721931,4.33394189450651
Lithuania,200176.060606061,LTU,54,Lithuania,3. Upper middle income,1871879.06954644,13231.25,4.1216336975134,1.74036268949424,6.27227802025535,5.3014143077936
Luxembourg,768117.64,LUX,77,Luxembourg,1. High income: OECD,84739.0543203871,73652.5,4.86719338925836,1.89209460269048,4.92808873805814,5.88542830429974
Madagascar,2047.8,MDG,17,Madagascar,5. Low income,15011691.8053674,416.666666666667,2.62082981627449,1.25527250510331,7.1764296685642,3.31149956546037
Malawi,1352.2,MWI,14,Malawi,5. Low income,1906871.52949887,497.916666666667,2.69802801209806,1.17609125905568,6.28032166232469,3.13136198911594
Malaysia,127795.935483871,MYS,60,Malaysia,3. Upper middle income,26949514.0740332,8137.91666666667,3.91056660181802,1.78532983501077,7.43055095495629,5.10652043975038
Mali,946.133333333333,MLI,9,Mali,5. Low income,1919149.84715745,733.333333333333,2.86589324243111,1,6.28310911205354,2.97641112140544
Mauritania,7026.87096774194,MRT,3,Mauritania,5. Low income,4101.95269516997,1435,3.15715443990628,0.602059991327962,3.61309650981481,3.84682377921596
Mexico,38269.453125,MEX,241,Mexico,3. Upper middle income,42556417.7575446,9415.41666666667,3.97388566734074,2.38381536598043,7.62896507372127,4.58286360433378
Mongolia,3458.29032258065,MNG,6,Mongolia,4. Lower middle income,2634868.34540201,2540.41666666667,3.40507587370814,0.845098040014257,6.42075908483215,3.53898701191425
Montenegro,2515.31578947368,MNE,15,Montenegro,3. Upper middle income,531653.068415384,6259.16666666667,3.7965858957424,1.20411998265592,5.72562914160926,3.40076514274296
Morocco,248454.734375,MAR,36,Morocco,4. Lower middle income,534462.672156819,2886.66666666667,3.46054705967934,1.568201724067,5.72791819126976,5.39524902474297
Mozambique,29180.8064516129,MOZ,16,Mozambique,5. Low income,22940605.2206708,497.916666666667,2.69802801209806,1.23044892137827,7.36060489023541,4.46511217267341
Myanmar,97.8387096774194,MMR,28,Myanmar,5. Low income,34033237.0119715,837.916666666667,2.92371882256376,1.46239799789896,7.53190327098333,1.99492706712629
Namibia,12399.16,NAM,12,Namibia,3. Upper middle income,872304.652761356,4135,3.61658053008589,1.11394335230684,5.94066868682308,4.09342728892585
Nepal,602.78125,NPL,27,Nepal,5. Low income,3792497.48627732,709.583333333333,2.85161501693568,1.44715803134222,6.57892541611624,2.78087962218828
Netherlands (Kingdom of the),581599.046875,NLD,216,Netherlands,1. High income: OECD,471322.395729685,47430,4.67606228109091,2.33645973384853,5.6733189979691,5.76462443285365
New Caledonia,1183.2,NCL,22,New Caledonia,2. High income: nonOECD,880511.363070136,31960,4.50462035911779,1.36172783601759,5.94473545817433,3.07342505674598
New Zealand,7060.578125,NZL,178,New Zealand,1. High income: OECD,9105427.23805667,32877.0833333333,4.51690649189662,2.25285303097989,6.95930037594658,3.84890176824586
Nicaragua,2606.50877192982,NIC,24,Nicaragua,4. Lower middle income,6696894.00455578,1592.91666666667,3.20246561181989,1.39794000867204,6.82587349002182,3.41622577811269
Niger,599.347826086957,NER,15,Niger,5. Low income,109366.593506794,462.5,2.66604973848052,1.20411998265592,5.03888865612826,2.77840294235354
Nigeria,3876.72340425532,NGA,28,Nigeria,4. Lower middle income,11584260.9268965,2376.875,3.37618902091468,1.46239799789896,7.06386836861479,3.58857682787582
North Macedonia,11423.8125,MKD,10,North Macedonia,3. Upper middle income,668268.217921245,4757.91666666667,3.67750809993982,1.04139268515822,5.82495145694169,4.05784908131225
Norway,1635427.796875,NOR,130,Norway,1. High income: OECD,8182636.71709482,77657.0833333333,4.89018666759003,2.11727129565576,6.91289332339294,6.21363164060564
Oman,20974.6136363636,OMN,8,Oman,2. High income: nonOECD,2278.29081197855,17095.4166666667,4.2329050937272,0.954242509439325,3.3577997398272,4.32171467486371
Pakistan,126386.328125,PAK,27,Pakistan,4. Lower middle income,836653.772467461,1090.41666666667,3.03799058146664,1.44715803134222,5.92254629271142,5.10170353279711
Palestine,850.636363636364,PSE,13,Palestine,4. Lower middle income,254.082933408909,2883.75,3.46010818202382,1.14612803567824,2.40668140265416,2.93025419690608
