type,ISO_A3,pestCount,totalRecords,global_type_count,SRR,SRR_scaled
Dieases,TLS,0,1341377,151491,0,-3
Dieases,TTO,14,16437264,151491,20.0091128621548,1.30124953817508
Dieases,TUN,1,274740726,151491,0.0855079091449177,-1.06294418454711
Dieases,TUR,11,17127945722,151491,0.015087480985969,-1.79351195338631
Dieases,TWN,83,14517798478,151491,0.134309476815221,-0.868671785187859
Dieases,TZA,12,3046072657,151491,0.0925486986657262,-1.02896224949187
Dieases,UGA,4,331655614,151491,0.283336135986128,-0.546167942764409
Dieases,UKR,31,10921111012,151491,0.0666843927649399,-1.16951146303545
Dieases,URY,24,304471470,151491,1.85179951636586,0.267828428683965
Dieases,USA,20459,506087827547,151491,0.949703064161884,-0.0219551063356946
Dieases,UZB,2,1102171246,151491,0.0426295008556533,-1.36021975554115
Dieases,VEN,40,2977205658,151491,0.315631605416178,-0.499445737064407
Dieases,VNM,0,1651417825,151491,0,-3
Dieases,VUT,0,548388,151491,0,-3
Dieases,YEM,0,302307,151491,0,-3
Dieases,ZAF,80,29842595315,151491,0.0629771098371153,-1.19397538304128
Dieases,ZMB,49,2906161,151491,396.100817134226,2.59780683475359
Dieases,ZWE,7,3561022025,151491,0.0461798703029693,-1.32624325732033
Plants,AFG,33,844633,1097756,126.664885833875,2.10265966469385
Plants,AGO,0,17611983,1097756,0,-3
Plants,ALB,0,1076686,1097756,0,-3
Plants,ARE,2,146661432,1097756,0.0442103971309689,-1.34476167807894
Plants,ARG,17,32944479522,1097756,0.00167292554309704,-2.57301313876403
Plants,ARM,0,531392741,1097756,0,-3
Plants,ATF,26,,1097756,,
Plants,AUS,203895,89941710927,1097756,7.34946579107435,0.866314860728237
Plants,AUT,15328,6663166172,1097756,7.4578765298857,0.872673418140918
Plants,AZE,0,272116,1097756,0,-3
Plants,BDI,9,2754,1097756,10594.7061315631,4.02508895605351
Plants,BEL,15,55932370249,1097756,0.000869437517619662,-2.7282890457312
Plants,BEN,3483,1671381180,1097756,6.75597927075357,0.82975258658649
Plants,BFA,19,293440044,1097756,0.209915526896893,-0.675891447773894
