id,variable,shap_value,feature_value
6,wc2.1_10m_bio_12,-0.105519143657603,489.399993896484
6,wc2.1_10m_bio_3,-0.0118537378448716,27.4368419647217
6,population_density,-0.0589292842812501,0
6,travel_time_to_cities_12,-0.0233072369518705,2160.55078125
6,GNI,-0.0947647609629982,20.1971244812012
6,FFI2020,-0.0253506524371214,0.542018055915833
6,timberImport,-0.0147005972607601,1700351.25
6,ForestAge_TC010,-0.0264619047127259,85.9128036499024
6,LC_Type1,-0.0104563949458944,9
7,x,0,57.65
7,y,0,58.25
7,wc2.1_10m_bio_1,-0.0885416178721179,0.687694907188416
7,wc2.1_10m_bio_12,-0.0998890605569833,761.285705566406
7,wc2.1_10m_bio_3,-0.0170372237676565,21.485387802124
7,population_density,-0.0299567654643452,21.0524616241455
7,travel_time_to_cities_12,-0.0258852078663408,22.9517612457275
7,GNI,-0.00612166711929423,2942593.25
7,FFI2020,-0.0414220626426706,0.309185117483139
7,timberImport,-0.0540665231005519,160933.265625
7,ForestAge_TC010,-0.00657390224987132,79.6780776977539
7,LC_Type1,-0.0141474442132087,5
8,x,0,25.25
8,y,0,44.95
8,wc2.1_10m_bio_1,0.00456031786379921,9.04807281494141
8,wc2.1_10m_bio_12,-0.168655222160568,594.625
8,wc2.1_10m_bio_3,-0.058157589405774,33.4812355041504
8,population_density,-0.0179349035440337,83.5946350097656
8,travel_time_to_cities_12,-0.0440172448776253,19.8563957214355
8,GNI,-0.0282810937515317,2402806.25
8,FFI2020,-0.0251794056766343,0.648431897163391
8,timberImport,-0.0534732580019694,377793.5
8,ForestAge_TC010,-0.00919411741417074,53.5339775085449
8,LC_Type1,-0.0285721357301086,12
9,x,0,-70.85
9,y,0,48.25
9,wc2.1_10m_bio_1,-0.143797264944682,2.00917291641235
9,wc2.1_10m_bio_12,-0.0175469135399324,1129.19995117188
9,wc2.1_10m_bio_3,-0.00445749525666022,23.7220401763916
9,population_density,-0.0290890026606499,76.4126892089844
9,travel_time_to_cities_12,-0.0367704102806705,12.559232711792
9,GNI,-0.020058411585774,3038258.25
9,FFI2020,-0.0246915045499742,0.711948156356812
9,timberImport,-0.0552809389810201,4061534.5
9,ForestAge_TC010,-0.012097316892243,74.488151550293
9,LC_Type1,-0.021661611228487,5
10,x,0,129.05
10,y,0,61.25
10,wc2.1_10m_bio_1,-0.0739774698262496,-9.93350982666016
10,wc2.1_10m_bio_12,-0.0913456909445494,274.714294433594
10,wc2.1_10m_bio_3,-0.0315976012713076,20.0745735168457
10,population_density,-0.0498067979406246,1.42294144630432
10,travel_time_to_cities_12,-0.0531703345744481,76.4818954467773
10,GNI,-0.0431130334798717,248356.515625
10,FFI2020,-0.0270991472486122,0.291137725114822
10,timberImport,-0.0395044765714659,160933.265625
10,ForestAge_TC010,-0.0294982454100984,102.177375793457
10,LC_Type1,-0.0198227135052691,8
11,x,0,12.85
11,y,0,49.45
11,wc2.1_10m_bio_1,-0.0161625761989975,7.08187341690064
11,wc2.1_10m_bio_12,-0.120413869423418,797.1142578125
11,wc2.1_10m_bio_3,-0.0628814639703268,32.2401237487793
11,population_density,-0.0104962694847926,132.254531860352
11,travel_time_to_cities_12,-0.0374353473508219,8.31764698028565
11,GNI,-0.0171645136587197,4009536.25
11,FFI2020,-0.0200553228018185,0.686503410339356
11,timberImport,-0.0743158879129055,1170881.125
11,ForestAge_TC010,-0.00141944279937189,65.6935577392578
11,LC_Type1,-0.0303993549777874,12
12,x,0,47.75
12,y,0,60.35
12,wc2.1_10m_bio_1,-0.0677054576284389,1.60029149055481
12,wc2.1_10m_bio_12,-0.108144893174192,606.200012207031
