ISO_A3,NAME_LONG.x,INCOME_GRP.x,CONTINENT,SUBREGION,Area,meanValue,richness,NAME_LONG.y,INCOME_GRP.y,area,GNI,total_richness,total_records,log10_total_richness,log10_total_records,richness_for_model,log_Richness,log_GNI,log_forestArea,log_import,Residuals,Std_Residuals
NIC,Nicaragua,4. Lower middle income,North America,Central America,Nicaragua,2606.50877192982,24,Nicaragua,4. Lower middle income,6696894.00455578,1592.91666666667,20,194,1.32221929473392,2.29003461136252,20,1.32221929473392,3.20246561181989,6.82587349002182,3.41622577811269,0.0531491774332916,0.169281961811802
HND,Honduras,4. Lower middle income,North America,Central America,Honduras,3473.87096774194,29,Honduras,4. Lower middle income,6534584.96510227,1814.16666666667,33,191,1.53147891704226,2.28330122870355,33,1.53147891704226,3.25891650765891,6.81521807565523,3.54093868258424,0.225021645400247,0.716701695548977
SLV,El Salvador,4. Lower middle income,North America,Central America,El Salvador,1382.63492063492,17,El Salvador,4. Lower middle income,742834.135016216,3196.66666666667,20,57,1.32221929473392,1.76342799356294,20,1.32221929473392,3.50483318975031,5.87089243704781,3.14102151434816,0.229522214261451,0.731036162475581
GTM,Guatemala,4. Lower middle income,North America,Central America,Guatemala,2058.90697674419,34,Guatemala,4. Lower middle income,6654449.98914043,3137.91666666667,36,167,1.568201724067,2.22530928172586,36,1.568201724067,3.49677978601313,6.82311223077655,3.31384760852504,0.234720123237178,0.747591681699461
BLZ,Belize,4. Lower middle income,North America,Central America,Belize,2539,15,Belize,4. Lower middle income,1616928.98236441,5383.75,12,52,1.11394335230684,1.72427586960079,12,1.11394335230684,3.73116554493375,6.20869121413575,3.40483371661994,-0.168123967277562,-0.535480629856407
VEN,Venezuela,3. Upper middle income,South America,South America,Venezuela (Bolivarian Republic of),12032.421875,31,Venezuela,3. Upper middle income,52272248.0338458,5775,39,190,1.60205999132796,2.28103336724773,39,1.60205999132796,3.76162718456158,7.71827118618874,4.08038914272747,-0.149985423468871,-0.477708742714816
GUY,Guyana,4. Lower middle income,South America,South America,Guyana,5268.52631578947,5,Guyana,4. Lower middle income,18862309.5437348,4841.25,8,15,0.954242509439325,1.20411998265592,8,0.954242509439325,3.68504720782725,7.27559489067768,3.72177157770123,-0.610269298456235,-1.94372874737049
SUR,Suriname,3. Upper middle income,South America,South America,Suriname,5715,9,Suriname,3. Upper middle income,13701540.3315971,5324.16666666667,11,17,1.07918124604762,1.25527250510331,11,1.07918124604762,3.72633320483959,7.13676942512392,3.75709222011893,-0.47315694763713,-1.5070211846915
FRA,France,1. High income: OECD,Europe,Western Europe,France,1919091.703125,486,France,1. High income: OECD,22194081.1311923,38665.8333333333,441,821180,2.64542226934909,5.91443889236609,441,2.64542226934909,4.5873386064622,7.34623718884771,6.28309595414309,0.322777223084757,1.02805657943688
ECU,Ecuador,3. Upper middle income,South America,South America,Ecuador,5288.09375,45,Ecuador,3. Upper middle income,17388124.2071646,4447.08333333333,37,1354,1.57978359661681,3.13193929521042,37,1.57978359661681,3.64817291501011,7.24025275876661,3.72338126502368,0.0333481232474412,0.106214921823655
PRI,Puerto Rico,2. High income: nonOECD,North America,Caribbean,,,,,,,,,,,,,,,,,,
JAM,Jamaica,3. Upper middle income,North America,Caribbean,Jamaica,9550.40625,16,Jamaica,3. Upper middle income,671235.252942225,4757.91666666667,17,132,1.25527250510331,2.12385164096709,17,1.25527250510331,3.67750809993982,5.82687540435756,3.98006731730673,-0.0357054050737709,-0.113722945679814
