id,variable,shap_value,feature_value
16,timberImport,-0.060648,4061534.5
16,ForestAge_TC010,-0.0822093333333333,153.204681396484
16,LC_Type1,-0.00677466666666666,10
17,x,0,-123.85
17,y,0,52.25
17,wc2.1_10m_bio_1,-0.100756666666667,2.29271054267883
17,wc2.1_10m_bio_12,-0.238058666666667,359.200012207031
17,wc2.1_10m_bio_3,-0.0369313333333334,37.5801391601563
17,population_density,-0.0343593333333333,0.0598418600857258
17,travel_time_to_cities_12,-0.0320353333333333,170.208648681641
17,GNI,-0.0556613333333334,1297.50915527344
17,FFI2020,-0.00277933333333334,0.751567184925079
17,timberImport,-0.04439,4061534.5
17,ForestAge_TC010,-0.0462513333333333,109.21923828125
17,LC_Type1,-0.004388,8
18,x,0,115.05
18,y,0,51.75
18,wc2.1_10m_bio_1,-0.18401,-2.04044771194458
18,wc2.1_10m_bio_12,-0.231376666666667,357.571441650391
18,wc2.1_10m_bio_3,-0.00527933333333334,24.2708034515381
18,population_density,-0.0221073333333333,6.42382192611694
18,travel_time_to_cities_12,-0.019616,118.534767150879
18,GNI,-0.0444173333333333,79714.2421875
18,FFI2020,-0.00307266666666667,0.683850944042206
18,timberImport,-0.0847426666666667,160933.265625
18,ForestAge_TC010,-0.00137866666666666,77.6848526000977
18,LC_Type1,-0.00662666666666667,10
19,x,0,-134.75
19,y,0,63.35
19,wc2.1_10m_bio_1,-0.190071333333333,-4.66987705230713
19,wc2.1_10m_bio_12,-0.166267333333333,334.799987792969
19,wc2.1_10m_bio_3,0.00451266666666668,24.4892501831055
19,population_density,-0.014102,0.00117782433517277
19,travel_time_to_cities_12,-0.0205006666666667,955.908508300781
19,GNI,-0.020062,33.0959358215332
19,FFI2020,-0.004874,0.530335426330566
19,timberImport,-0.00988733333333335,4061534.5
19,ForestAge_TC010,-0.0569993333333333,133.468048095703
19,LC_Type1,-0.00580133333333333,8
20,x,0,127.55
20,y,0,52.95
20,wc2.1_10m_bio_1,-0.115637333333333,-2.19117140769959
20,wc2.1_10m_bio_12,-0.301763333333333,520.94287109375
20,wc2.1_10m_bio_3,-0.0367773333333333,22.819917678833
20,population_density,-0.0114186666666667,0.333664864301682
20,travel_time_to_cities_12,-0.0157386666666667,283.230407714844
20,GNI,-0.0264166666666667,73124.0078125
20,FFI2020,-0.00244199999999999,0.639421224594116
20,timberImport,-0.041128,160933.265625
20,ForestAge_TC010,0.00281666666666667,65.6331405639649
20,LC_Type1,-0.00240933333333334,8
21,x,0,35.05
21,y,0,55.15
21,wc2.1_10m_bio_1,-0.0617626666666667,4.48251962661743
21,wc2.1_10m_bio_12,-0.286019333333333,626.257141113281
21,wc2.1_10m_bio_3,-0.0910733333333333,24.2089900970459
21,population_density,-0.018332,4.80410623550415
21,travel_time_to_cities_12,-0.00436133333333334,105.837936401367
21,GNI,-0.00786466666666666,3518948.75
21,FFI2020,-0.00737066666666666,0.508808314800263
21,timberImport,-0.132234666666667,160933.265625
21,ForestAge_TC010,0.00170333333333333,45.4810905456543
21,LC_Type1,-0.00254466666666667,8
22,x,0,35.65
22,y,0,56.85
22,wc2.1_10m_bio_1,-0.0468933333333333,4.2965087890625
22,wc2.1_10m_bio_12,-0.314501333333333,628.771423339844
22,wc2.1_10m_bio_3,-0.018068,23.8449592590332
22,population_density,-0.0184846666666667,31.9669628143311
22,travel_time_to_cities_12,-0.00131400000000001,16.8814125061035
22,GNI,-0.021304,256442.125
